environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
455     1.00            3.24            5.00            45.47           
456     1.50            3.48            6.00            45.59           
457     0.50            2.37            4.50            46.15           
458     0.50            3.15            4.50            45.18           
459     1.50            3.49            6.00            45.48           
460     2.50            4.50            6.50            44.39           
461     1.00            2.38            4.00            45.86           
462     1.00            3.07            4.50            45.54           
463     0.00            1.34            2.50            47.28           
464     1.50            3.81            5.50            45.84           
465     0.00            2.05            3.50            46.09           
466     1.50            2.96            5.00            45.39           
467     0.50            2.38            4.50            46.90           
468     1.00            2.58            4.50            46.26           
469     0.50            3.37            5.50            45.42           
470     0.50            1.83            3.50            46.36           
471     0.50            2.14            4.50            46.16           
472     0.50            2.08            4.50            46.11           
473     1.00            2.59            4.50            46.10           
474     1.00            2.92            5.00            45.61           
475     0.50            2.50            4.00            45.70           
476     0.00            1.88            3.50            45.77           
477     1.00            3.10            4.50            44.85           
478     1.50            3.18            4.50            45.08           
479     0.50            2.51            4.00            45.31           
480     0.00            2.68            4.50            45.26           
481     0.50            2.04            4.00            45.98           
482     0.50            2.58            4.50            45.48           
483     0.50            3.54            5.00            44.81           
484     0.00            1.63            3.50            45.89           
485     0.00            1.56            3.50            45.82           
486     2.00            4.25            6.00            44.12           
487     1.00            2.84            5.00            45.12           
488     2.00            3.94            6.00            44.41           
489     0.00            2.18            4.50            45.73           
490     0.00            2.15            4.00            46.12           
491     1.50            3.00            5.00            44.96           
492     2.50            4.07            6.00            44.58           
493     0.50            2.78            4.50            45.16           
494     1.00            2.65            5.50            45.29           
495     1.50            3.13            5.00            44.87           
496     0.50            1.80            3.50            45.96           
497     0.50            2.51            4.50            45.48           
498     1.00            2.36            4.00            45.25           
499     0.50            2.79            4.50            45.38           
500     1.50            3.05            4.50            44.86           
501     0.50            1.96            3.50            45.68           
502     1.50            3.14            5.00            44.82           
503     1.00            3.08            4.50            45.56           
504     0.00            2.28            4.00            45.52           
505     1.00            2.28            3.50            45.41           
506     1.50            3.26            5.00            44.93           
507     0.50            2.31            4.00            45.36           
508     1.00            2.68            3.50            45.28           
509     1.50            3.18            5.50            45.09           
510     0.00            1.49            3.00            46.25           
511     0.50            2.35            4.00            45.63           
512     0.00            1.70            3.50            46.36           
513     2.00            3.88            6.50            44.92           
514     0.00            2.52            4.50            45.77           
515     1.00            2.62            4.00            45.49           
516     0.50            2.81            4.50            45.70           
517     0.00            2.42            4.00            45.48           
518     1.00            3.04            5.00            45.25           
519     1.50            3.90            6.00            44.76           
520     1.50            3.55            5.50            44.89           
521     0.00            1.56            3.50            46.28           
522     1.50            3.06            5.00            44.91           
523     1.00            3.42            5.50            44.90           
524     0.50            1.81            3.50            45.92           
525     0.50            2.49            4.00            45.69           
526     1.50            3.30            4.50            44.92           
527     0.50            1.78            3.50            46.08           
528     0.50            3.08            5.00            45.17           
529     1.50            2.83            4.50            45.54           
530     0.00            2.00            4.00            46.29           
531     0.00            1.99            3.50            46.34           
532     0.50            3.43            5.00            45.15           
533     2.50            4.61            6.00            44.65           
534     2.50            4.47            6.00            44.37           
535     0.50            2.40            4.00            45.85           
536     1.00            2.67            4.00            45.73           
537     0.00            2.54            5.50            46.00           
538     0.50            2.49            4.50            45.99           
539     2.50            4.79            7.00            44.47           
540     0.50            3.03            5.50            46.18           
541     1.50            3.78            5.00            44.23           
542     1.50            3.51            5.50            44.69           
543     1.00            2.78            4.50            45.10           
544     1.00            3.60            6.00            44.73           
545     1.00            3.52            5.50            44.39           
546     0.50            2.68            4.00            45.13           
547     1.00            3.34            5.50            44.83           
548     1.50            2.94            4.50            45.33           
549     1.00            3.04            4.50            44.91           
550     1.00            3.32            5.50            44.77           
551     1.50            3.10            5.00            44.86           
552     0.50            3.27            5.50            44.83           
553     1.00            2.87            4.50            44.87           
554     2.00            3.68            5.00            44.30           
555     0.50            2.16            5.50            45.69           
556     0.50            2.28            4.00            45.46           
557     1.00            2.91            5.00            44.96           
558     1.50            3.22            5.00            44.70           
559     2.00            4.14            6.00            44.33           
560     0.00            1.02            2.00            46.10           
561     1.00            3.33            5.50            44.94           
562     2.00            4.03            6.00            44.15           
563     1.00            2.76            4.50            44.91           
564     0.50            2.92            5.00            45.32           
565     2.00            3.96            6.00            44.26           
566     1.50            3.44            5.00            44.51           
567     1.50            3.84            5.50            44.43           
568     1.00            2.71            4.50            45.22           
569     1.00            1.92            4.00            45.20           
570     1.50            3.00            5.50            45.06           
571     1.00            3.61            5.50            44.52           
572     0.50            2.05            4.00            45.69           
573     1.50            2.41            4.50            45.16           
574     1.00            3.56            5.00            44.49           
575     1.50            3.77            5.50            44.47           
576     2.00            3.63            5.50            44.47           
577     0.50            2.60            4.50            45.45           
578     0.50            2.80            4.50            45.36           
579     1.50            4.41            6.00            43.89           
580     1.00            3.60            5.00            44.44           
581     2.00            3.21            4.50            44.52           
582     0.00            2.91            4.50            45.13           
583     0.00            1.69            4.00            45.93           
584     1.50            3.95            6.00            44.29           
